0.47	0.71	0.71	0.36	0.27	0.36	0.36	0.46	0.51	0.41	0.44	0.39	0.3	0.44	0.51
0.46	0.51	0.46	0.26	0.34	1.03	0.56	0.61	0.42	1.08	0.56	0.41	0.44	0.26	0.32
1.18	0.68	0.56	0.74	0.5	0.56	0.29	0.35	0.64	0.89	0.57	0.55	0.78	0.35	0.46
0.61	0.4	0.26	0.59	0.66	0.91	0.25	0.35	0.39	0.62	0.39	0.39	0.33	0.3	0.23
0.79	0.57	0.54	0.35	0.29	0.6	0.47	0.34	0.63	0.84	0.55	1.24	0.54	0.45	0.39
0.83	0.88	0.44	0.65	0.52	0.35	0.46	0.29	0.7	0.66	0.33	0.61	0.56	0.75	0.36
0.57	0.67	0.33	0.44	0.41	0.72	0.29	0.38	0.32	0.75	0.63	0.44	0.56	0.28	0.51
0.57	0.57	0.64	0.4	0.39	0.82	0.26	0.24	0.5	1.01	0.54	0.41	0.41	0.56	0.64
0.51	0.52	0.22	0.32	0.67	0.57	0.48	0.27	0.49	0.79	0.5	0.35	1.11	0.33	0.36
0.73	0.56	0.29	0.39	0.58	0.79	0.67	0.46	0.31	0.75	0.29	0.43	0.44	0.37	0.33
0.41	0.57	0.44	0.22	0.61	0.99	0.49	0.41	0.43	0.52	0.4	0.26	0.37	0.74	0.27
0.87	0.52	0.38	0.26	0.38	0.91	0.26	0.6	0.5	0.61	0.46	0.48	0.66	0.58	0.25
0.92	0.62	0.42	0.3	0.42	0.54	0.27	0.4	0.56	0.62	0.54	0.27	0.44	0.35	0.75
0.57	0.64	0.33	0.33	0.28	0.8	0.46	0.3	0.44	0.9	0.34	0.76	0.45	0.38	0.46
0.38	0.49	0.43	0.34	0.78	0.54	0.54	0.35	0.36	0.83	0.42	0.38	0.46	0.37	0.32
1.07	0.37	0.43	0.19	0.49	0.52	1.06	0.43	0.68	0.93	0.46	0.51	0.24	0.37	0.46
