0.6	0.42	0.42	0.45	0.56	0.6	0.68
0.78	0.42	0.61	0.56	0.63	0.84	0.89
1.25	0.91	0.87	0.71	1.06	1.29	1.74
1.14	0.8	0.84	0.93	0.95	1.44	1.95
1.19	0.58	0.81	0.74	1.14	1.12	1.47
1.01	0.64	0.76	0.8	0.75	1.18	1.39
1.28	0.52	1.04	0.77	1.22	1.53	2.17
0.63	0.35	0.56	0.37	0.49	0.59	0.68
1.46	0.7	0.96	1.22	1.16	1.83	2.6
0.73	0.3	0.38	0.3	0.59	0.58	0.63
0.8	0.48	0.52	0.55	0.61	0.67	0.82
1.18	0.78	0.79	1.1	1.18	1.83	2.67
0.66	0.68	0.69	0.56	0.96	1.16	1.45
1.32	0.59	0.46	0.87	0.75	1.01	1.58
0.58	0.3	0.46	0.58	0.58	0.54	0.64
1.05	0.66	0.86	0.72	0.98	1.24	1.65
1.05	0.51	0.88	0.73	0.84	1.03	1.59
0.95	0.68	0.65	0.84	0.77	1.17	1.05
0.89	0.48	0.62	0.52	0.74	0.84	0.69
0.71	0.36	0.42	0.37	0.5	0.6	0.5
1.02	0.51	0.68	0.68	1.03	1.03	1.37
0.77	0.43	0.44	0.46	0.52	0.55	0.63
0.92	0.49	0.66	0.63	0.78	0.96	1.21
0.75	0.48	0.44	0.5	0.54	0.75	0.73
0.96	0.67	0.65	0.9	0.94	1.19	1.49
1.23	0.81	0.78	1.05	1.28	1.72	2.59
0.81	0.54	0.56	0.69	0.68	0.74	1.09
0.91	0.41	0.55	0.57	0.62	0.68	0.86
1.04	0.73	0.81	0.69	1.11	1.26	1.83
1.19	0.81	1.04	0.86	1.49	1.95	3.35
